Alimento,Medida Caseira,Peso (g)
CUSCUZ DE MILHO,Pedaço pequeno,85.0
COM LEITE,Pedaço grande,270.0
COM LEITE,Pedaço médio,180.0
COM LEITE,Pedaço pequeno,115.0
CUSCUZ DE TAPIOCA,Fatia grande,200.0
CUSCUZ DE TAPIOCA,Unidade,7.0
DANONINHO,Potinho,45.0
DANONINHO,Pote Maxi,65.0
DANONINHO,Potinho Maxi,65.0
NUTRICEREAIS,Potinho,45.0
NUTRICEREAIS,Unidade,200.0
DIET SHAKE BAUNILHA,Porção,30.0
DOBRADINHA,Colher de arroz rasa,45.0
DOBRADINHA,Colher de sopa cháeia,35.0
CALDA,Colher de sopa cháeia,25.0
CALDA,Unidade grande,300.0
CALDA,Unidade média,150.0
CALDA,Colher de sopa rasa,25.0
EM CALDA,Copo duplo (240ml) (240ml),240.0
EM CALDA,Copo pequeno (165ml),165.0
EM CALDA,Colher de sopa cháeia,5.0
DOCE DE LEITE,Barra M,35.0
DOCE DE LEITE,Col Caféé Ch,80.0
DOCE DE LEITE,Colher de cháá cháeia,12.0
DOCE DE LEITE,Colher de cháá rasa,8.0
DOCE DE LEITE,Colher de sopa cháeia,25.0
DOCE DE LEITE,Colher de sopa rasa,25.0
DOCE DE LEITE,Copo duplo (240ml) (240ml),270.0
DOCE DE LEITE,Porção M,50.0
DOCE DE MAMAO VERDE,Colher de cháá cháeia,12.0
DOCE DE MAMAO VERDE,Colher de sopa cháeia,25.0
DOCE DE MAMAO VERDE,Pires,150.0
DOCE DE MAMAO VERDE,Prato de sobremesa,250.0
DOCE DE NOZES,Colher de cháá cháeia,15.0
DOCE DE NOZES,Colher de sopa cháeia,25.0
EGGBURGUER,Unidade,175.0
EGGCHEESEBURGUER,Unidade,190.0
EMPADA,Unidade pequena,12.0
EMPADAO,Fatia média,110.0
DE SALSICHA,Unidade média,27.0
DE SALSICHA,Unidade pequena,18.0
COM CENOURA,Colher de sopa cháeia,25.0
COM CENOURA,Colher de sopa rasa,15.0
ERVILHA ENLATADA,Colher de arroz cháeia,38.0
ERVILHA ENLATADA,Colher de arroz rasa,27.0
ERVILHA ENLATADA,Colher de sopa rasa,16.0
ERVILHA ENLATADA,Colher de sopa cháeia,13.0
ERVILHA ENLATADA,Colher de sobremesa rasa,9.0
ERVILHA VAGEM COZIDA,Colher de sopa cháeia,30.0
REFOGADA,Colher de arroz cháeia,60.0
ESPINAFRE REFOGADO,Colher de sopa cháeia,25.0
ESPINAFRE REFOGADO,Copo duplo (240ml) (240ml),240.0
ESPINAFRE REFOGADO,Copo pequeno (165ml),165.0
ESPINAFRE REFOGADO,Garrafa M,290.0
ESPINAFRE REFOGADO,Lata,350.0
FARELO DE TRIGO,Col Caféé Ch,10.0
FARELO DE TRIGO,Colher de cháá cháeia,5.0
FARELO DE TRIGO,Colher de sopa cháeia Ú,25.0
FARELO DE TRIGO,Colher de sopa rasa,25.0
FARELO DE TRIGO,Colher de sopa cháeia,25.0
FARINHA DE ARROZ,Colher de cháá cháeia,4.0
FARINHA DE ARROZ,Colher de cháá rasa,5.0
FARINHA DE ARROZ,Colher de sopa cháeia,17.0
FARINHA DE ARROZ,Colher de sopa rasa,10.0
FARINHA DE MANDIOCA,Colher de cháá cháeia,5.0
FARINHA DE MANDIOCA,Colher de sopa cháeia,16.0
FARINHA DE MANDIOCA,Colher de sopa rasa,12.0
FARINHA DE ROSCA,Coes Ch,150.0
FARINHA DE ROSCA,Colher de sopa rasa,10.0
FARINHA DE ROSCA,Colher de sopa cháeia,10.0
FARINHA DE TRIGO,Colher de sopa cháeia,20.0
FARINHA LACTEA,Colher de sopa cháeia,20.0
FARINHA LACTEA,Colher de arroz cháeia,35.0
FARINHA LACTEA,Colher de arroz rasa,22.0
FARINHA LACTEA,Colher de cháá cháeia,5.0
